block_size,topic,paraphrase_idx,feature,mean,std,metric,metric_name
4,astronomy_solar,0,drift,0.006840766863799878,0.896617492868155,0.896617492868155,std
4,astronomy_solar,0,timing_cv,0.8993258439658389,0.1050368014552805,0.1167950439321194,cv
4,astronomy_solar,0,mean_depth_excess,0.49865456704579336,0.5901971978011719,0.5901971978011719,std
4,astronomy_solar,0,isolated_frac,0.0,0.0,0.0,std
4,astronomy_solar,0,d2_excess,0.7146746654097544,0.5673978040255875,0.5673978040255875,std
4,astronomy_solar,1,drift,-1.062710480385851,1.8982039847810233,1.8982039847810233,std
4,astronomy_solar,1,timing_cv,0.9578844715462066,0.17444303173875933,0.1821128089248334,cv
4,astronomy_solar,1,mean_depth_excess,-0.19046339326490294,1.0643568717614786,1.0643568717614786,std
4,astronomy_solar,1,isolated_frac,0.0006172839506172839,0.003381003441389914,0.003381003441389914,std
4,astronomy_solar,1,d2_excess,0.16609703924118432,1.0191468867977465,1.0191468867977465,std
4,astronomy_solar,2,drift,-0.13694870730671588,1.284131393486341,1.284131393486341,std
4,astronomy_solar,2,timing_cv,0.9276132031635654,0.12704220429099608,0.1369560112531029,cv
4,astronomy_solar,2,mean_depth_excess,-0.39618866228659994,2.0432636530732644,2.0432636530732644,std
4,astronomy_solar,2,isolated_frac,0.0,0.0,0.0,std
4,astronomy_solar,2,d2_excess,0.011668368536306366,1.2903631480431208,1.2903631480431208,std
4,biology_cells,0,drift,-0.4084915070097036,1.108208332786326,1.108208332786326,std
4,biology_cells,0,timing_cv,0.9250024920872962,0.11124149777557238,0.12026075467597126,cv
4,biology_cells,0,mean_depth_excess,0.8319557985712985,0.2732958666549847,0.2732958666549847,std
4,biology_cells,0,isolated_frac,0.0003333333333333333,0.001825741858350554,0.001825741858350554,std
4,biology_cells,0,d2_excess,0.9487543920536867,0.2003292914648825,0.2003292914648825,std
4,biology_cells,1,drift,0.0019545048182292597,1.2452284603521027,1.2452284603521027,std
4,biology_cells,1,timing_cv,0.9081022016597607,0.11590098964175025,0.127629896095302,cv
4,biology_cells,1,mean_depth_excess,0.8354484761471649,0.1437935117119278,0.1437935117119278,std
4,biology_cells,1,isolated_frac,0.001136204481792717,0.0034735939165634368,0.0034735939165634368,std
4,biology_cells,1,d2_excess,0.9853293493418012,2.2584051416334807e-16,2.2584051416334807e-16,std
4,biology_cells,2,drift,-0.10554326018432457,1.2578194041347142,1.2578194041347142,std
4,biology_cells,2,timing_cv,0.8977138224436008,0.08676827482013481,0.09665471629249205,cv
4,biology_cells,2,mean_depth_excess,0.8184840422072438,0.20117679970975247,0.20117679970975247,std
4,biology_cells,2,isolated_frac,0.0,0.0,0.0,std
4,biology_cells,2,d2_excess,0.9743568621553668,0.060098787439464736,0.060098787439464736,std
4,chemistry_periodic,0,drift,0.02638581504608237,1.0547794940654618,1.0547794940654618,std
4,chemistry_periodic,0,timing_cv,0.9475930546062412,0.13881781817195427,0.14649518324048716,cv
4,chemistry_periodic,0,mean_depth_excess,0.27013366279627044,0.9271125525880258,0.9271125525880258,std
4,chemistry_periodic,0,isolated_frac,0.0003508771929824561,0.001921833535105846,0.001921833535105846,std
4,chemistry_periodic,0,d2_excess,0.6086072892742228,0.6415392610032101,0.6415392610032101,std
4,chemistry_periodic,1,drift,0.12411105595749498,1.2581040974900077,1.2581040974900077,std
4,chemistry_periodic,1,timing_cv,0.9157987916510203,0.10323166316574785,0.11272308295978394,cv
