cancel_rate,drift,mean_depth,mean_depth_excess,d2_excess,timing_cv,isolated_frac,growth_rate,Q_tail_1,Q_tail_2,Q_tail_3,Q_tail_4,Q_tail_5,Q_tail_6,r_plus,r_squared,mean_rho,std_rho,mean_surp_inst,mean_surp_base,T_actual,topic,case_study,paraphrase_idx,seed,generating_model,block_size,signal
0.2890625,0.14142588757721564,5.94140625,0.9711243672117175,0.7032965687329766,0.8032739642325402,0.013513513513513514,0.421875,1.0,0.99609375,0.9921875,0.98828125,0.984375,0.98046875,0.9960551622400232,0.9999945318250933,0.3410152792930603,0.8984923958778381,0.4255238473415375,0.7665391564369202,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,0,inst,16,C
0.26171875,-0.7925186530270365,5.921875,0.7551269545756595,0.7032965687329766,0.820378609641748,0.0,0.4765625,1.0,0.99609375,0.9921875,0.984375,0.9765625,0.97265625,0.9936706506001096,0.9846095996310225,-0.10826828330755234,0.47920915484428406,0.7714970707893372,0.6632287502288818,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000000,base,16,C
0.265625,-0.6590980043692862,5.8828125,0.3231321293035435,0.7032965687329766,0.847750464680698,0.014705882352941176,0.46875,1.0,0.99609375,0.9921875,0.9765625,0.9609375,0.95703125,0.9888611613936484,0.9560876964811177,0.4188639521598816,0.9710703492164612,0.4867180287837982,0.905582070350647,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1,inst,16,C
0.29296875,0.2748465362349659,5.8984375,0.4959300594123899,-0.04489127034465989,0.8177299601518261,0.04,0.4140625,1.0,0.9921568627450981,0.9882352941176471,0.984313725490196,0.9803921568627451,0.9764705882352941,0.9960237907202696,0.9999944443325324,-0.15500232577323914,0.6413341164588928,0.8805234432220459,0.7255210280418396,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000001,base,16,C
0.296875,0.40826718489271624,5.59765625,-2.830430095182903,-3.037642626655206,0.8699425268372619,0.0,0.40625,1.0,0.9722222222222222,0.9484126984126984,0.9285714285714286,0.9206349206349206,0.9166666666666666,0.9853673944823341,0.9123398511656899,0.4015839695930481,0.7729110717773438,0.4696240723133087,0.8712080717086792,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,2,inst,16,C
0.29296875,0.2748465362349659,5.8984375,0.4959300594123899,-0.04489127034465989,0.9348891465081041,0.04,0.4140625,1.0,0.9921568627450981,0.9882352941176471,0.984313725490196,0.9803921568627451,0.9764705882352941,0.9960237907202696,0.9999944443325324,-0.07568540424108505,0.43235358595848083,0.429294615983963,0.35360920429229736,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000002,base,16,C
0.23828125,-1.5930425449735384,5.90625,0.5823290244668131,0.7032965687329766,0.888535539432635,0.0,0.5234375,1.0,0.99609375,0.9921875,0.984375,0.97265625,0.9609375,0.9908674187692903,0.9638326938154764,0.4347189664840698,0.8911330699920654,0.6076689958572388,1.0423879623413086,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,3,inst,16,C
0.3125,0.9419497795237175,5.777777777777778,-0.8384539564281471,-0.2527212256439986,0.9854036777703165,0.0,0.375,1.0,0.9861111111111112,0.9652777777777778,0.9513888888888888,0.9444444444444444,0.9305555555555556,0.9863151445088137,0.9728152205816841,-0.16895510256290436,0.9976269602775574,1.515075445175171,1.3461203575134277,153,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000003,base,16,C
0.296875,0.40826718489271624,5.80859375,-0.4976580387134768,-0.4189851898834781,0.997003494477581,0.0,0.40625,1.0,0.9882352941176471,0.9725490196078431,0.9607843137254902,0.9568627450980393,0.9529411764705882,0.9911399031316106,0.9122379022413568,0.3850511908531189,0.8690938353538513,0.4213278591632843,0.8063790202140808,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,4,inst,16,C
0.34134615384615385,1.9272099542271046,5.927884615384615,0.8215876969252113,0.6169672026855586,0.7195108221201747,0.014084507042253521,0.3173076923076923,1.0,0.9951923076923077,0.9903846153846154,0.9855769230769231,0.9807692307692307,0.9759615384615384,0.995133698658644,0.9999916711743337,-0.33841672539711,1.1118611097335815,1.0107306241989136,0.6723140478134155,219,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000004,base,16,C
0.26953125,-0.5256773557115358,5.8828125,0.3231321293035435,0.7032965687329766,0.76,0.014492753623188406,0.4609375,1.0,0.99609375,0.9921875,0.9765625,0.9609375,0.95703125,0.9888611613936484,0.9560876964811177,0.37730908393859863,0.9031983613967896,0.3809538185596466,0.7582629919052124,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,5,inst,16,C
0.2548076923076923,-1.028570569883057,5.903846153846154,0.5557447275269943,0.6169672026855586,0.9175159933912648,0.018867924528301886,0.49038461538461536,1.0,0.9951923076923077,0.9903846153846154,0.9807692307692307,0.9711538461538461,0.9663461538461539,0.9921870567710214,0.98460655660033,-0.38847342133522034,1.1058417558670044,1.155078411102295,0.7666049003601074,220,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000005,base,16,C
0.26171875,-0.7925186530270365,5.875,0.23673316424912033,0.7032965687329766,0.7849064509476872,0.0,0.4765625,1.0,0.99609375,0.98828125,0.97265625,0.9609375,0.95703125,0.9892513221477021,0.97001614097003,0.38003259897232056,0.9320471286773682,0.48342928290367126,0.863461971282959,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,6,inst,16,C
0.2708333333333333,-0.4812038061589531,5.640625,-2.355235787383575,-2.414152760757179,0.7663267431256172,0.019230769230769232,0.4583333333333333,1.0,0.9736842105263158,0.9473684210526315,0.9315789473684211,0.9263157894736842,0.9210526315789473,0.9867276095377938,0.8877420798037998,-0.3461412489414215,1.0796847343444824,1.3181872367858887,0.9720458984375,207,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000006,base,16,C
0.28515625,0.008005238919465321,5.8828125,0.3231321293035435,0.7032965687329766,0.8295090884273414,0.0,0.4296875,1.0,0.99609375,0.9921875,0.9765625,0.9609375,0.95703125,0.9888611613936484,0.9560876964811177,0.49181854724884033,0.919727087020874,0.46377354860305786,0.9555920362472534,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,7,inst,16,C
0.26875,-0.5523614854430864,5.78125,-0.8000544164039579,-0.718260325514537,0.8253170762222152,0.0,0.4625,1.0,0.9874213836477987,0.9811320754716981,0.9685534591194969,0.949685534591195,0.9308176100628931,0.9850485759307399,0.962853094429418,-0.27408313751220703,0.9860170483589172,1.1627687215805054,0.888685405254364,169,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000007,base,16,C
0.3046875,0.6751084822082168,5.6328125,-2.4416347524379987,-1.915360868038751,1.117635399108564,0.0,0.390625,1.0,0.9763779527559056,0.952755905511811,0.9330708661417323,0.9133858267716536,0.9015748031496063,0.9800404977161514,0.9900796569060885,0.4028504490852356,0.8187480568885803,0.5126125812530518,0.9154630899429321,256,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,8,inst,16,C
0.3333333333333333,1.6535265723650518,5.84375,-0.10886269596857244,0.07980670283494973,0.9008676373363625,0.0,0.3333333333333333,1.0,0.9895833333333334,0.9791666666666666,0.96875,0.9583333333333334,0.9479166666666666,0.9893035210378703,0.999959522274398,-0.1481025069952011,1.167545199394226,1.3692636489868164,1.2211613655090332,107,shaped_founding_fathers_slavery,CS-PHANTOM-001,0,1000008,base,16,C
