cancel_rate,drift,mean_depth,mean_depth_excess,d2_excess,timing_cv,isolated_frac,growth_rate,Q_tail_1,Q_tail_2,Q_tail_3,Q_tail_4,Q_tail_5,Q_tail_6,r_plus,r_squared,mean_rho,std_rho,mean_surp_inst,mean_surp_base,T_actual,topic,category,paraphrase_idx,seed,block_size,signal
0.2734375,-0.39225670705378557,5.77734375,-0.8432538989311695,0.32920264919415837,0.9041403431234857,0.0,0.453125,1.0,0.9921875,0.9765625,0.953125,0.93359375,0.921875,0.9809829213557043,0.9905278586853427,0.34165841341018677,0.8368430733680725,0.4131012558937073,0.754759669303894,256,control_chemistry_organic,control,0,0,16,C
0.2890625,0.14142588757721564,5.90234375,0.5391295419396015,0.32920264919415837,0.9372007430116832,0.013513513513513514,0.421875,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.96875,0.9944376065822589,0.9799801103548822,0.30446237325668335,0.7679122090339661,0.290794312953949,0.5952567458152771,256,control_chemistry_organic,control,0,1,16,C
0.33984375,1.8758943201279696,5.6015625,-2.787230612655691,-3.037642626655206,0.8761058926425903,0.0,0.3203125,1.0,0.9722222222222222,0.9523809523809523,0.9365079365079365,0.9206349206349206,0.9087301587301587,0.9832445637285796,0.9941045735095136,0.29098623991012573,0.7088994383811951,0.287891685962677,0.5788779258728027,256,control_chemistry_organic,control,0,2,16,C
0.30078125,0.5416878335504666,5.828125,-0.2816606260774188,-0.4189851898834781,0.9441512160924816,0.012987012987012988,0.3984375,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9490196078431372,0.9899324772250883,0.9877372911899698,0.31921908259391785,0.7549859881401062,0.3502149283885956,0.6694340109825134,256,control_chemistry_organic,control,0,3,16,C
0.28125,-0.125415409738285,5.81640625,-0.4112590736590536,-0.4189851898834781,0.8648263618304468,0.013888888888888888,0.4375,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9372549019607843,0.9874658373955786,0.930916230060909,0.23851214349269867,0.688351035118103,0.23618994653224945,0.47470206022262573,256,control_chemistry_organic,control,0,4,16,C
0.29296875,0.2748465362349659,5.86328125,0.10713471666748554,-0.4189851898834781,0.9483159735360991,0.0,0.4140625,1.0,0.9882352941176471,0.9803921568627451,0.9764705882352941,0.9725490196078431,0.9686274509803922,0.9952001887405004,0.9739291875786131,0.29171431064605713,0.7272945046424866,0.29954689741134644,0.5912612676620483,256,control_chemistry_organic,control,0,5,16,C
0.35546875,2.4095769147589707,5.828125,-0.2816606260774188,-0.4189851898834781,0.8699425268372619,0.0,0.2890625,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9490196078431372,0.9899324772250883,0.9877372911899698,0.3427248001098633,0.8034952282905579,0.3297109603881836,0.6724357604980469,256,control_chemistry_organic,control,0,6,16,C
0.25390625,-1.059359950342537,5.8984375,0.4959300594123899,0.32920264919415837,0.9266815067121401,0.015384615384615385,0.4921875,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.96484375,0.9936343441389749,0.9540386822183822,0.2887761890888214,0.7241580486297607,0.29426610469818115,0.583042323589325,256,control_chemistry_organic,control,0,7,16,C
0.25,-1.1927805990002873,5.77734375,-0.8432538989311695,0.32920264919415837,0.8432528773165792,0.0,0.5,1.0,0.9921875,0.9765625,0.953125,0.93359375,0.921875,0.9809829213557043,0.9905278586853427,0.36187708377838135,0.8471176028251648,0.39818793535232544,0.7600650787353516,256,control_chemistry_organic,control,0,8,16,C
0.26953125,-0.5256773557115358,5.78125,-0.8000544164039579,0.32920264919415837,0.8205754078693803,0.014492753623188406,0.4609375,1.0,0.9921875,0.9765625,0.953125,0.93359375,0.92578125,0.9818128573329078,0.9803260871287435,0.36659717559814453,0.8795369863510132,0.3156343102455139,0.6822314858436584,256,control_chemistry_organic,control,0,9,16,C
