cancel_rate,drift,mean_depth,mean_depth_excess,d2_excess,timing_cv,isolated_frac,growth_rate,Q_tail_1,Q_tail_2,Q_tail_3,Q_tail_4,Q_tail_5,Q_tail_6,r_plus,r_squared,process,seed
0.279052734375,-1.238887812076976,5.9951171875,0.7551269545756398,0.7032965687330192,0.8725346857509797,0.006124234470691163,0.44189453125,1.0,0.999755859375,0.99951171875,0.9990234375,0.99853515625,0.998291015625,0.9996090695302925,0.9846153626775429,IID_Gaussian,0
0.28857421875,-0.04882316500795698,5.957275390625,-5.9407928371421574,-4.908112224349255,0.8929109090504392,0.005922165820642978,0.4228515625,1.0,0.9973111708628697,0.9946223417257394,0.9924223906135419,0.9907113175262772,0.9894891224639453,0.9980331333986584,0.9789098226998214,IID_Gaussian,1
0.29248046875,0.43940848507164054,5.9951171875,0.7551269545756398,0.7032965687330192,0.900470391467175,0.00667779632721202,0.4150390625,1.0,0.999755859375,0.99951171875,0.9990234375,0.99853515625,0.998291015625,0.9996090695302925,0.9846153626775429,IID_Gaussian,2
0.28173828125,-0.9032285526472527,5.9912109375,0.0639352341402543,-0.04489127034461736,0.9254134655042531,0.005199306759098787,0.4365234375,1.0,0.9995115995115995,0.999023199023199,0.9985347985347985,0.998046398046398,0.9975579975579976,0.9995110023221828,0.9999999162675015,IID_Gaussian,3
0.288330078125,-0.07933764313793182,5.9951171875,0.7551269545756398,0.7032965687330192,0.8491819384755676,0.003386960203217612,0.42333984375,1.0,0.999755859375,0.99951171875,0.9990234375,0.99853515625,0.998291015625,0.9996090695302925,0.9846153626775429,IID_Gaussian,4
0.274658203125,-1.788148418416523,5.98974609375,-0.19526166102301526,-0.4189851898834356,0.9023931885013721,0.011555555555555555,0.45068359375,1.0,0.9992673992673993,0.9985347985347985,0.998046398046398,0.9978021978021978,0.9975579975579976,0.9995842679863216,0.9384254336461969,IID_Gaussian,5
0.283935546875,-0.628598249477479,5.99072265625,-0.022463730914168888,-0.4189851898834356,0.8794216657892363,0.0060189165950128975,0.43212890625,1.0,0.9992673992673993,0.9987789987789988,0.9985347985347985,0.998046398046398,0.9975579975579976,0.9995842859303092,0.9897027390736584,IID_Gaussian,6
0.282958984375,-0.7506561619973784,5.994140625,0.5823290244667935,0.3292026491942009,0.9183210852722754,0.004314063848144953,0.43408203125,1.0,0.99951171875,0.9990234375,0.998779296875,0.99853515625,0.998291015625,0.9997067460325675,0.9730318513375694,IID_Gaussian,7
0.294189453125,0.6530098319814645,5.996337890625,0.9711243672116978,0.7032965687330192,0.863578297701756,0.008298755186721992,0.41162109375,1.0,0.999755859375,0.99951171875,0.999267578125,0.9990234375,0.998779296875,0.9997557102570737,0.9999999791077788,IID_Gaussian,8
0.298095703125,1.141241482061062,5.989990234375,-0.15206217849580367,0.7032965687330192,0.8334597388173057,0.003276003276003276,0.40380859375,1.0,0.999755859375,0.999267578125,0.998291015625,0.9970703125,0.99560546875,0.9989484145525697,0.9688981438369684,IID_Gaussian,9
0.28369140625,-0.6591127276074539,5.996337890625,0.9711243672116978,0.7032965687330192,0.8893621859303503,0.006024096385542169,0.4326171875,1.0,0.999755859375,0.99951171875,0.999267578125,0.9990234375,0.998779296875,0.9997557102570737,0.9999999791077788,IID_Gaussian,10
0.301513671875,1.5684441758807097,5.990234375,-0.10886269596859208,0.7032965687330192,0.8776597537954605,0.011336032388663968,0.39697265625,1.0,0.999755859375,0.999267578125,0.998046875,0.996826171875,0.996337890625,0.9990708812048562,0.975675580623111,IID_Gaussian,11
0.2939453125,0.6224953538514896,5.9912109375,0.0639352341402543,0.7032965687330192,0.8830428626116288,0.004152823920265781,0.412109375,1.0,0.999755859375,0.99951171875,0.998779296875,0.997314453125,0.995849609375,0.9989974555971414,0.9295626726405593,IID_Gaussian,12
0.292236328125,0.4088940069416657,5.99365234375,0.4959300594123703,-0.04489127034461736,0.9204035572269834,0.006683375104427736,0.41552734375,1.0,0.9995115995115995,0.9992673992673993,0.999023199023199,0.9987789987789988,0.9985347985347985,0.9997555908437663,0.9999999790873464,IID_Gaussian,13
0.3037109375,1.8430744790504834,5.996337890625,0.9711243672116978,0.7032965687330192,0.9063853440323595,0.001607717041800643,0.392578125,1.0,0.999755859375,0.99951171875,0.999267578125,0.9990234375,0.998779296875,0.9997557102570737,0.9999999791077788,IID_Gaussian,14
0.298828125,1.2327849164509865,5.9912109375,0.0639352341402543,0.7032965687330192,0.8725881614377068,0.0032679738562091504,0.40234375,1.0,0.999755859375,0.999267578125,0.998291015625,0.997314453125,0.99658203125,0.9991687681614437,0.989696291208706,IID_Gaussian,15
0.3056640625,2.087190304090282,5.99609375,0.9279248846844862,0.7032965687330192,0.8477685590992979,0.00718849840255591,0.388671875,1.0,0.999755859375,0.99951171875,0.999267578125,0.9990234375,0.99853515625,0.9997068296178013,0.9729140351930882,IID_Gaussian,16
0.29541015625,0.8055822226313387,5.9833984375,-1.3184482067305168,-1.167173028961072,0.8911225231605933,0.006611570247933884,0.4091796875,1.0,0.9987789987789988,0.9973137973137973,0.9965811965811966,0.9963369963369964,0.9958485958485959,0.9993145842356509,0.899321379821252,IID_Gaussian,17
