cancel_rate,drift,mean_depth,mean_depth_excess,d2_excess,timing_cv,isolated_frac,growth_rate,Q_tail_1,Q_tail_2,Q_tail_3,Q_tail_4,Q_tail_5,Q_tail_6,r_plus,r_squared,mean_rho,mean_surp_base,mean_surp_inst,T_actual,topic,paraphrase_idx,seed,block_size,signal_choice
0.33984375,-1.5127867293086656,5.859375,0.8229746276619285,0.9853293493418014,0.9379149478781025,0.0,0.3203125,1.0,0.99609375,0.98828125,0.97265625,0.95703125,0.9453125,0.98641483114189,0.9892022565717792,0.12164158374071121,0.14731311798095703,0.02567153237760067,256,geography_capitals,0,0,4,C
0.2890625,-1.2776631730858097,5.8125,0.012367698976705964,0.04183719390021423,0.9759248570041786,0.0,0.421875,1.0,0.9882352941176471,0.9764705882352941,0.9647058823529412,0.9568627450980393,0.9490196078431372,0.9899243633902384,0.9900484023971036,0.12164158374071121,0.14731311798095703,0.02567153237760067,256,geography_capitals,0,0,8,C
0.33203125,1.6090530228124689,5.9140625,0.6687279895212362,0.7032965687329766,0.8736864426097041,0.011764705882352941,0.3359375,1.0,0.99609375,0.98828125,0.98046875,0.9765625,0.97265625,0.9940627089652826,0.9708543259014171,0.12164158374071121,0.14731311798095703,0.02567153237760067,256,geography_capitals,0,0,16,C
0.421875,1.5655583594008304,5.57421875,-0.26973449964474233,-0.22164424116597453,0.8987594870360095,0.0,0.15625,1.0,0.9721115537848606,0.9641434262948207,0.952191235059761,0.9163346613545816,0.8804780876494024,0.9754201804815019,0.9116276335498381,0.15743017196655273,0.22341114282608032,0.06598098576068878,256,geography_capitals,0,1,4,C
0.3515625,1.1104922906259835,5.90625,0.657638949935227,0.42217532026580007,0.874331172105761,0.022222222222222223,0.296875,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.97265625,0.9952382820213871,0.9739216617740921,0.15743017196655273,0.22341114282608032,0.06598098576068878,256,geography_capitals,0,1,8,C
0.27734375,-0.2588360583960353,5.90625,0.5823290244668131,0.32920264919415837,0.7370311631819373,0.014084507042253521,0.4453125,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.97265625,0.9952382820213871,0.9739216617740921,0.15743017196655273,0.22341114282608032,0.06598098576068878,256,geography_capitals,0,1,16,C
0.3828125,0.09967974572964182,5.66015625,0.05957510036548726,0.9853293493418014,0.975062466482349,0.0,0.234375,1.0,0.99609375,0.98828125,0.953125,0.88671875,0.8359375,0.9551360832034547,0.9301018598744053,0.12470371276140213,0.14890676736831665,0.024203075096011162,256,geography_capitals,0,2,4,C
0.3671875,1.7075311565539317,5.81640625,0.039254001099977676,0.04183719390021423,0.8607903345182264,0.0,0.265625,1.0,0.9882352941176471,0.9764705882352941,0.9647058823529412,0.9568627450980393,0.9529411764705882,0.9907411337785568,0.9668076196438378,0.12470371276140213,0.14890676736831665,0.024203075096011162,256,geography_capitals,0,2,8,C
0.28125,-0.125415409738285,5.9140625,0.6687279895212362,0.7032965687329766,0.8074198184154703,0.013888888888888888,0.4375,1.0,0.99609375,0.98828125,0.98046875,0.9765625,0.97265625,0.9940627089652826,0.9708543259014171,0.12470371276140213,0.14890676736831665,0.024203075096011162,256,geography_capitals,0,2,16,C
0.40625,0.9792069139323549,5.51953125,-0.4792951541967066,0.3269801181557418,0.9106481208458074,0.0,0.1875,1.0,0.9803149606299213,0.9606299212598425,0.9291338582677166,0.8779527559055118,0.8149606299212598,0.9550930907535299,0.9443524527480507,0.20249396562576294,0.3654288947582245,0.16293486952781677,256,geography_capitals,0,3,4,C
0.31640625,-0.23284515771190017,5.81640625,0.039254001099977676,0.04183719390021423,0.8592089385009912,0.0,0.3671875,1.0,0.9882352941176471,0.9764705882352941,0.9647058823529412,0.9568627450980393,0.9529411764705882,0.9907411337785568,0.9668076196438378,0.20249396562576294,0.3654288947582245,0.16293486952781677,256,geography_capitals,0,3,8,C
0.28515625,0.008005238919465321,5.91015625,0.6255285069940247,0.7032965687329766,0.7798666552687068,0.0,0.4296875,1.0,0.99609375,0.98828125,0.98046875,0.9765625,0.96875,0.9932629792820502,0.9900833792082879,0.20249396562576294,0.3654288947582245,0.16293486952781677,256,geography_capitals,0,3,16,C
0.421875,1.5655583594008304,5.03515625,-2.3354038087998186,-2.9647660377745564,0.8876184854616038,0.0,0.15625,1.0,0.9125,0.8875,0.875,0.8583333333333333,0.8375,0.979713630257349,0.9903810167001682,0.18664950132369995,0.30931249260902405,0.1226629838347435,256,geography_capitals,0,4,4,C
0.36328125,1.5582714400719448,5.61328125,-1.3588337093101512,-0.7188390588309576,0.8217896259907741,0.010752688172043012,0.2734375,1.0,0.9763779527559056,0.9566929133858267,0.9448818897637795,0.9133858267716536,0.8661417322834646,0.9718122543590224,0.9286347706260828,0.18664950132369995,0.30931249260902405,0.1226629838347435,256,geography_capitals,0,4,8,C
0.25,-1.1927805990002873,5.90625,0.5823290244668131,0.32920264919415837,0.911861083035932,0.03125,0.5,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.97265625,0.9952382820213871,0.9739216617740921,0.18664950132369995,0.30931249260902405,0.1226629838347435,256,geography_capitals,0,4,16,C
0.36328125,-0.6332595611059524,5.7890625,0.5535395003808317,0.5464298618844283,0.8904470787194488,0.0,0.2734375,1.0,0.9881889763779528,0.9803149606299213,0.9645669291338582,0.952755905511811,0.9488188976377953,0.9890773717055166,0.9700257168921069,0.15617981553077698,0.20151114463806152,0.04533132538199425,256,geography_capitals,0,5,4,C
0.296875,-0.9791437401218356,5.90625,0.657638949935227,0.42217532026580007,1.0658460236348424,0.0,0.40625,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.97265625,0.9952382820213871,0.9739216617740921,0.15617981553077698,0.20151114463806152,0.04533132538199425,256,geography_capitals,0,5,8,C
0.30078125,0.5416878335504666,5.81640625,-0.4112590736590536,-0.04489127034465989,0.9340365037557322,0.0,0.3984375,1.0,0.9921568627450981,0.984313725490196,0.9725490196078431,0.9568627450980393,0.9333333333333333,0.985060484220706,0.9551725108164344,0.15617981553077698,0.20151114463806152,0.04533132538199425,256,geography_capitals,0,5,16,C
0.38671875,0.24626760709676068,5.94140625,1.1373156094898749,0.9853293493418014,0.9293945091665792,0.0,0.2265625,1.0,0.99609375,0.9921875,0.98828125,0.984375,0.98046875,0.9960551622400232,0.9999945318250933,0.14087921380996704,0.19678908586502075,0.0559098906815052,256,geography_capitals,0,6,4,C
